Date,Open,High,Low,Close,Volume
2018-01-01,1107.8944774873364,1119.3160700387523,1103.4137203208174,1107.630859375,2048058
2018-01-02,1113.16582652468,1115.7137413422188,1091.9480034090752,1098.01025390625,1512324
2018-01-03,1103.4137003883363,1128.0579179835224,1099.5479092217306,1120.458251953125,2720736
2018-01-04,1128.93630469472,1159.7307123425087,1124.675194360536,1155.9527587890625,4546456
2018-01-05,1164.123799012984,1167.5941629104325,1149.1878710256476,1155.2501220703125,2418902
2018-01-08,1156.6558130279604,1182.530068414469,1156.6558130279604,1175.7650146484375,3513256
2018-01-09,1177.3024727859454,1179.93822459069,1165.353752720906,1170.9327392578125,1703294
2018-01-10,1170.4496270794368,1174.2275813894298,1157.6662935169832,1163.025634765625,1098019
2018-01-11,1159.906754946862,1165.7054961511758,1153.624964057259,1162.85009765625,1232290
2018-01-12,1164.5631662769092,1170.5375807575722,1150.725467394328,1167.77001953125,1825056
2018-01-15,1172.777915708676,1187.14274369704,1162.8938449943391,1164.95849609375,2386631
2018-01-16,1169.4393189412633,1176.9951201682604,1162.674157544012,1165.1781005859375,3139385
2018-01-17,1162.3666136809852,1192.238469210202,1159.9505077190634,1189.0316162109375,2724814
2018-01-18,1194.8741163403236,1216.8387140671678,1186.483597109064,1195.5770263671875,4966982
2018-01-19,1196.6315054546906,1211.2599516958485,1189.163540846493,1204.93408203125,2127776
2018-01-22,1132.6706704784808,1233.2246932099454,1132.6706704784808,1229.0074462890625,3067658
2018-01-23,1235.289033296892,1243.1962888443118,1223.955278895787,1239.4183349609375,4804202
2018-01-24,1236.2556892229818,1238.6279306876177,1221.0562483527049,1231.072021484375,2147973
2018-01-25,1222.9889734270207,1253.783386670466,1222.9889734270207,1244.5142822265625,6113475
2018-01-29,1245.832174392061,1266.6107084824678,1245.832174392061,1258.08837890625,2945415
2018-01-30,1256.3312183686712,1262.2616607013128,1235.9481113249817,1256.287353515625,1988140
2018-01-31,1258.044497778937,1264.8973888840685,1240.560654079708,1244.5142822265625,2614515
2018-02-01,1281.7661913259603,1291.51845206522,1234.5861671970222,1278.8668212890625,8187730
2018-02-02,1272.18987654206,1272.18987654206,1238.8476502325816,1243.5919189453125,3621563
2018-02-05,1212.4461282455738,1230.0178112636256,1190.569361438291,1198.081298828125,3060688
2018-02-06,1159.6869707024698,1205.7247962454223,1137.1074035792976,1188.7681884765625,4230633
2018-02-07,1203.6603219086808,1203.6603219086808,1168.5169548456536,1171.8116455078125,2927403
2018-02-08,1181.6955759976463,1194.4350450325655,1171.152567141162,1183.80419921875,1932082
2018-02-09,1163.9481321651729,1179.9383181488915,1158.0615549850827,1167.8577880859375,2029257
2018-02-12,1172.514337848421,1190.4813380207852,1172.514337848421,1186.5277099609375,1543603
2018-02-14,1190.2179139202055,1205.8567548056444,1182.2228195458017,1195.9287109375,2310144
2018-02-15,1198.7401453705893,1203.6601947899971,1182.9256318623995,1186.39599609375,1861841
2018-02-16,1193.1171506488593,1198.3886549963506,1160.1262763745308,1167.111083984375,1424576
2018-02-19,1166.7596713985913,1169.3514515642078,1130.7377237123396,1138.2056884765625,4275673
2018-02-20,1142.1591009586575,1150.5934851774728,1130.9571559300248,1133.900390625,2063972
2018-02-21,1141.2806254399927,1141.807754394548,1123.7089452946502,1127.047607421875,1584305
2018-02-22,1122.8303175415415,1140.4019970022855,1121.0731495954672,1135.1304931640625,3028574
2018-02-23,1135.657738506891,1146.552202339076,1124.9390558367436,1143.65283203125,2176017
2018-02-26,1147.4307808431747,1184.067693197131,1147.4307808431747,1181.03662109375,2239306
2018-02-27,1183.8920123356609,1191.1843028808285,1169.6589935656343,1175.63330078125,2243499
2018-02-28,1166.759499309381,1169.9223801167414,1151.4721169499514,1158.10546875,2439968
2018-03-01,1158.8523340843306,1171.0646735354796,1153.6686668641707,1155.513671875,1927606
2018-03-05,1153.3174243519943,1153.3174243519943,1140.3583075378242,1142.7744140625,1302005
2018-03-06,1149.8029419639156,1158.764563924406,1120.1947013838155,1127.5748291015625,2381856
2018-03-07,1128.1020543718716,1136.800058951183,1107.0160346639864,1109.9154052734375,2156582
2018-03-08,1117.4709767322115,1133.1976512990493,1106.3568680237215,1127.9261474609375,3588828
2018-03-09,1129.1562056625964,1138.688928636503,1124.5876113909335,1133.812744140625,2508919
2018-03-12,1142.159201560204,1152.7022095746058,1139.5234495566035,1150.989013671875,2267260
2018-03-13,1152.1753362698717,1162.3229193858783,1136.9319219166248,1144.5755615234375,1915199
2018-03-14,1144.7950024278248,1153.580842814838,1135.13057800211,1145.0146484375,1714051
2018-03-15,1146.4644151384955,1150.5937175146396,1135.2184957431996,1137.854248046875,1178352
2018-03-16,1142.0715428307212,1145.5858793839357,1107.367469367727,1115.1868896484375,5152611
2018-03-19,1124.587458550665,1135.1304659745772,1112.1554741801644,1124.192138671875,4452882
2018-03-20,1120.194681150645,1142.1592827418342,1120.194681150645,1136.448486328125,2831066
2018-03-21,1137.7664842938243,1154.108128178275,1137.7664842938243,1150.3741455078125,2835466
2018-03-22,1155.1621541203735,1160.9607864080651,1132.4946466105653,1138.8643798828125,1834024
2018-03-23,1123.357593955449,1127.487003520265,1108.3338274939233,1113.956787109375,2280525
2018-03-26,1114.0443681450122,1142.2468894534554,1114.0443681450122,1139.874755859375,1697069
2018-03-27,1148.3092163992735,1154.4593040157963,1143.0377127279687,1148.79248046875,2003736
2018-03-28,1143.1255521917255,1164.1237299784998,1135.4819147510962,1151.7357177734375,3989865
2018-04-02,1153.5806826361816,1176.8631564289149,1152.7460708149154,1173.744140625,1302024
2018-04-03,1170.9328149932876,1176.423964941671,1158.0176732142988,1168.8681640625,1123582
2018-04-04,1169.395240618791,1170.8887904382314,1133.548972462049,1138.776611328125,1285513
2018-04-05,1154.4593169096956,1172.9535520626887,1151.823565044605,1167.46240234375,1758313
