,Transaction,Date,Price
136,Buy,2008-01-25,563.875
137,Buy,2008-02-18,550.9249877929688
138,Buy,2008-02-28,555.3375244140625
139,Buy,2008-03-11,519.3125
140,Buy,2008-07-09,225.875
141,Buy,2008-08-22,265.92498779296875
142,Buy,2008-09-25,299.375
143,Buy,2008-09-30,297.45001220703125
144,Buy,2008-10-13,257.25
145,Buy,2008-10-29,265.5249938964844
146,Buy,2008-12-04,155.3249969482422
147,Buy,2009-02-10,233.27499389648438
148,Buy,2009-02-12,239.125
149,Buy,2009-03-04,245.4250030517578
150,Buy,2009-03-09,247.02499389648438
151,Buy,2009-06-26,502.04998779296875
152,Buy,2009-07-07,494.79998779296875
153,Buy,2009-08-26,573.2999877929688
154,Buy,2009-11-09,734.7999877929688
155,Buy,2009-12-22,848.625
156,Buy,2009-12-30,849.7000122070312
157,Buy,2010-01-12,851.8499755859375
158,Buy,2010-01-29,873.8499755859375
159,Buy,2010-02-09,864.2999877929688
160,Buy,2010-02-24,873.7249755859375
161,Buy,2010-02-26,908.8250122070312
162,Buy,2010-03-25,940.2999877929688
163,Buy,2010-04-20,1037.7249755859375
164,Buy,2010-04-28,1032.625
165,Buy,2010-05-27,1057.4000244140625
166,Buy,2010-07-22,1245.25
167,Buy,2010-08-12,1317.5
168,Buy,2010-09-29,1491.199951171875
169,Buy,2010-10-18,1519.699951171875
170,Buy,2010-10-29,1510.949951171875
171,Buy,2010-12-02,1574.300048828125
172,Buy,2010-12-30,1480.1500244140625
173,Buy,2011-01-24,1307.3499755859375
174,Buy,2011-01-31,1245.949951171875
175,Buy,2011-02-08,1239.199951171875
176,Buy,2011-02-11,1255.9000244140625
177,Buy,2011-03-03,1350.0999755859375
178,Buy,2011-03-08,1390.5999755859375
179,Buy,2011-03-25,1381.199951171875
180,Buy,2011-04-15,1419.6500244140625
181,Buy,2011-05-23,1305.050048828125
182,Buy,2011-05-27,1316.5
183,Buy,2011-06-13,1345.0999755859375
184,Buy,2011-06-22,1342.449951171875
185,Buy,2011-06-24,1387.75
186,Buy,2011-07-19,1434.75
187,Buy,2011-07-22,1448.550048828125
188,Buy,2011-07-27,1434.4000244140625
189,Buy,2011-08-08,1415.699951171875
190,Buy,2011-10-10,1553.550048828125
191,Buy,2011-11-24,1654.800048828125
192,Buy,2011-11-30,1669.0
193,Buy,2011-12-13,1659.8499755859375
194,Buy,2012-01-20,1561.3499755859375
195,Buy,2012-02-28,1766.5
196,Buy,2012-03-09,1752.8499755859375
197,Buy,2012-03-21,1734.0
198,Buy,2012-04-17,1672.3499755859375
199,Buy,2012-05-14,1586.9000244140625
200,Buy,2012-05-29,1529.25
201,Buy,2012-06-06,1541.0999755859375
202,Buy,2012-07-18,1520.9000244140625
203,Buy,2012-09-03,1662.5
204,Buy,2012-09-07,1688.199951171875
205,Buy,2012-11-19,1850.550048828125
206,Buy,2012-11-27,1862.449951171875
207,Buy,2013-01-28,2086.64990234375
208,Buy,2013-02-04,2064.60009765625
209,Buy,2013-02-12,2076.14990234375
210,Buy,2013-02-25,2009.550048828125
211,Buy,2013-03-01,2028.300048828125
212,Buy,2013-04-16,1770.6500244140625
213,Buy,2013-05-20,1863.800048828125
214,Buy,2013-05-27,1818.0999755859375
215,Buy,2013-06-14,1764.6500244140625
216,Buy,2013-07-31,1934.75
217,Buy,2013-08-14,1908.5999755859375
218,Buy,2013-08-30,1837.0
219,Buy,2013-10-01,2020.0
220,Buy,2013-10-30,2136.699951171875
221,Buy,2013-11-07,2101.14990234375
222,Buy,2013-11-29,1974.449951171875
223,Buy,2013-12-06,1950.0
224,Buy,2013-12-18,1928.4000244140625
225,Buy,2013-12-20,1931.800048828125
226,Buy,2014-01-16,1907.75
227,Buy,2014-02-04,1868.25
228,Buy,2014-02-21,1862.699951171875
229,Buy,2014-02-25,1902.25
230,Buy,2014-04-17,2016.050048828125
231,Buy,2014-04-24,2004.6500244140625
232,Buy,2014-05-12,1948.1500244140625
233,Buy,2014-05-21,1961.1500244140625
234,Buy,2014-05-30,1943.949951171875
235,Buy,2014-08-05,2155.60009765625
236,Buy,2014-10-09,2376.10009765625
237,Buy,2014-10-14,2412.0
238,Buy,2014-12-04,2625.10009765625
239,Buy,2015-01-15,2417.949951171875
240,Buy,2015-02-06,2223.300048828125
241,Buy,2015-04-06,2036.4000244140625
242,Buy,2015-05-04,2087.89990234375
243,Buy,2015-06-08,2224.199951171875
244,Buy,2015-06-10,2253.14990234375
245,Buy,2015-06-12,2286.300048828125
246,Buy,2015-07-13,2496.85009765625
247,Buy,2015-07-30,2527.25
248,Buy,2015-08-05,2576.64990234375
249,Buy,2015-08-10,2554.60009765625
250,Buy,2015-08-14,2558.60009765625
251,Buy,2015-09-10,2302.699951171875
252,Buy,2015-09-24,2282.949951171875
253,Buy,2015-09-30,2312.10009765625
254,Buy,2015-11-20,2476.64990234375
255,Buy,2015-12-15,2437.300048828125
256,Buy,2016-01-29,2341.949951171875
257,Buy,2016-02-15,2342.10009765625
258,Buy,2016-03-04,2306.25
259,Buy,2016-05-09,2527.14990234375
260,Buy,2016-05-25,2475.300048828125
261,Buy,2016-06-20,2617.89990234375
262,Buy,2016-07-11,2649.050048828125
263,Buy,2016-07-29,2700.800048828125
264,Buy,2016-08-29,2887.85009765625
265,Buy,2016-09-16,2981.60009765625
266,Buy,2016-10-07,2883.5
267,Buy,2016-10-26,2823.949951171875
268,Buy,2016-10-28,2848.10009765625
269,Buy,2016-11-29,2664.14990234375
270,Buy,2016-12-29,2651.449951171875
271,Buy,2017-01-03,2619.199951171875
272,Buy,2017-02-08,2781.89990234375
273,Buy,2017-02-21,2799.25
274,Buy,2017-03-02,2832.050048828125
275,Buy,2017-03-23,2865.949951171875
276,Buy,2017-04-07,2830.449951171875
277,Buy,2017-06-05,2898.39990234375
278,Buy,2017-07-11,2792.75
279,Buy,2017-08-03,2834.25
280,Buy,2017-08-16,2849.199951171875
281,Buy,2017-08-31,2814.5
282,Buy,2017-11-10,3253.35009765625
283,Buy,2017-11-14,3266.550048828125
284,Buy,2017-11-17,3206.85009765625
285,Buy,2017-12-08,3212.64990234375
286,Buy,2017-12-18,3226.75
287,Buy,2018-01-22,3274.5
288,Buy,2018-03-12,2957.75
289,Buy,2018-03-26,2848.64990234375
290,Buy,2018-04-13,2786.199951171875
291,Buy,2018-05-28,2790.14990234375
292,Buy,2018-06-01,2896.550048828125
293,Buy,2018-06-29,2810.300048828125
294,Buy,2018-08-20,2735.35009765625
295,Buy,2018-09-19,2790.10009765625
296,Buy,2018-09-25,2788.699951171875
297,Buy,2018-09-27,2783.550048828125
298,Buy,2018-10-26,2513.75
299,Buy,2018-11-26,2649.5
300,Buy,2018-11-29,2724.0
301,Buy,2019-01-11,2720.949951171875
302,Buy,2019-02-01,2602.75
303,Buy,2019-04-09,2924.800048828125
304,Buy,2019-05-17,3040.050048828125
305,Buy,2019-05-22,3047.199951171875
306,Buy,2019-06-03,3034.60009765625
307,Buy,2019-06-10,2989.800048828125
308,Buy,2019-07-01,2911.949951171875
309,Buy,2019-07-26,2618.64990234375
310,Buy,2019-08-02,2600.550048828125
311,Buy,2019-09-20,2929.25
312,Buy,2019-11-25,3195.64990234375
313,Buy,2019-11-27,3212.050048828125
314,Buy,2019-12-03,3259.75
315,Buy,2019-12-18,3213.64990234375
316,Buy,2019-12-24,3226.75
317,Buy,2020-01-15,3123.550048828125
318,Buy,2020-01-29,3091.85009765625
319,Buy,2020-04-01,2051.10009765625
320,Buy,2020-05-11,2566.300048828125
321,Buy,2020-05-20,2557.75
322,Buy,2020-06-22,2855.75
323,Buy,2020-08-05,3009.0
324,Buy,2020-08-11,3007.449951171875
325,Buy,2020-08-17,3115.60009765625
326,Buy,2020-08-26,3082.199951171875
327,Buy,2020-09-14,2957.699951171875
328,Buy,2020-10-01,2985.39990234375
329,Buy,2020-10-06,2972.25
330,Buy,2020-10-23,3082.25
331,Buy,2020-11-05,2949.300048828125
332,Buy,2020-12-22,3265.300048828125
333,Buy,2021-02-16,4132.85009765625
334,Buy,2021-03-02,3944.050048828125
335,Buy,2021-03-30,3666.699951171875
336,Buy,2021-04-06,3615.5
337,Buy,2021-04-13,3602.449951171875
338,Buy,2021-04-20,3600.89990234375
339,Buy,2021-06-18,4167.10009765625
340,Buy,2021-08-13,3825.75
341,Buy,2021-08-17,3807.449951171875
342,Buy,2021-09-01,3758.300048828125
343,Buy,2021-09-03,3757.5
344,Buy,2021-09-14,3751.050048828125
