Year,Strategy,RiskProfile,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,TotalReturn,AverageTurnover,TotalTransactionCosts,Observations
2022,BuyHold,,0.07520947709387316,0.1478563045970361,0.7616852548726696,1.259911557525231,-0.10538636607334295,0.07304584144610393,0.020408163265306208,0.0010000000000000044,49
2022,EqualWeight,,0.07982672733783147,0.14877281959602132,0.7867379343845126,1.297806889380045,-0.10480649824571198,0.07752553476763269,0.04176135088774615,0.0020463061934995613,49
2022,RiskOnly,,0.10389019746805506,0.14888349494123404,0.8042911082147053,1.3122547580492456,-0.08604502514391754,0.10086354759892857,0.26115810757251856,0.012796747271053411,49
2022,XGB_EqualWeight,,0.0607913423346671,0.15703825851410022,0.7094753000926777,1.0675949182636872,-0.11119475809841117,0.05905380049480469,0.8052599741590398,0.03945773873379295,49
2022,XGB_Risk,moderate,0.023315449075938632,0.17677002455618385,0.4577575987775732,0.6414219592348676,-0.14061573328361032,0.022660515247320268,1.2449855344866618,0.06100429118984642,49
2022,XGB_TurnoverAware,aggressive,-0.02095461297004675,0.17893891949767263,0.20770103354042826,0.25805481012168235,-0.19831845509113766,-0.0203785125588567,0.6507852719217648,0.03188847832416647,49
2023,BuyHold,,0.2758625013597653,0.11140319204099226,2.193913318502615,3.5672859211250914,-0.04100398078455636,0.2611466588999518,0.020833333333333412,0.0010000000000000037,48
2023,EqualWeight,,0.2700887938750012,0.11037213966789138,2.1721134892002385,3.504913711937924,-0.040637763522860526,0.2557107262950653,0.037723402368129405,0.0018107233136702113,48
2023,RiskOnly,,0.2756170922841812,0.10143306152369021,2.378679042314154,3.938846221106781,-0.04401294805247724,0.26091563068110935,0.28923293744958145,0.01388318099757991,48
2023,XGB_EqualWeight,,0.20124163470890166,0.11239379177181356,1.5943516791185037,2.489681437140526,-0.05758478562316738,0.19079897907511745,0.7866393548576344,0.03775868903316645,48
2023,XGB_Risk,moderate,0.26651618779005415,0.13350506119089914,1.6979156141507334,2.534637857236653,-0.0631222767539199,0.25234653666266227,1.1458979174894852,0.055003100039495295,48
2023,XGB_TurnoverAware,aggressive,0.22027167297799166,0.1160651223689235,1.6127425287557406,2.7496938440524725,-0.06698264706160362,0.2087585309838218,0.6238483081914343,0.02994471879318885,48
2024,BuyHold,,0.12066653800255112,0.126283899552696,0.9222329934305673,1.4571629872984448,-0.09222291136571192,0.1171257434121784,0.02040816326530623,0.001000000000000005,49
2024,EqualWeight,,0.11931020314398122,0.12599235740186965,0.914421697989347,1.444061948945946,-0.09397644216342105,0.11581122877663308,0.041383488912378016,0.0020277909567065233,49
2024,RiskOnly,,0.11815887785302337,0.1320087522793013,0.8327874939951427,1.4474671909328096,-0.10554727982152268,0.11469536787713253,0.22857383591555816,0.01120011795986235,49
2024,XGB_EqualWeight,,0.03594377275929306,0.14091242301882992,0.22952862745647756,0.3676456721871257,-0.10418076514702301,0.034928100242165305,0.8127923746224294,0.03982682635649904,49
2024,XGB_Risk,moderate,0.10044566889719508,0.1435695424027212,0.7178316813119411,1.5700208976704848,-0.09818633834365409,0.09752373736763809,1.293512439065673,0.06338210951421797,49
2024,XGB_TurnoverAware,aggressive,0.061017969386708115,0.14602965424868847,0.4577550065506844,0.9263808873924354,-0.1133020673648365,0.05927377080186225,0.6768105128653686,0.033163715130403074,49
2025,BuyHold,,0.09322465907182265,0.1280960421407795,0.7867157733915892,1.3402739405047253,-0.07355157931434608,0.08859444424397545,0.020833333333333443,0.0010000000000000052,48
2025,EqualWeight,,0.09036933332663755,0.12826495455655781,0.7654555203549419,1.2660806088389482,-0.07545797393421472,0.08588643534256679,0.038068097550212954,0.0018272686824102222,48
2025,RiskOnly,,0.13805300909239415,0.12782659964115664,1.1120179619466446,2.029387671094551,-0.06671928769210012,0.1310663631601099,0.22738688214935088,0.010914570343168842,48
2025,XGB_EqualWeight,,0.09403250466498103,0.14348533368798527,0.7542607906796911,1.351292601305182,-0.07491309031802673,0.08936054892562573,0.818787338932539,0.039301792268761876,48
2025,XGB_Risk,moderate,0.047965276525218536,0.16138916427178507,0.4673254504465411,1.0155974260783942,-0.08338057068130889,0.045629899378449856,1.1035851421048606,0.05297208682103331,48
2025,XGB_TurnoverAware,aggressive,0.013775920200386649,0.1447595983583357,0.27483911840978975,0.5368666856441907,-0.0904755159539512,0.013115641247121834,0.6982934542827445,0.03351808580557174,48
