Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks
2022-01-03,1028798.0088564121,0.02979800885641226,0.001,0.02879800885641226,1.0,20
2022-01-10,1039144.016982285,0.010056403722411122,0.0,0.010056403722411122,0.0,20
2022-01-17,983999.495613454,-0.05306725580634408,0.0,-0.05306725580634408,0.0,20
2022-01-24,1019898.7886336308,0.03648304006273517,0.0,0.03648304006273517,0.0,20
2022-02-01,1011082.2257260708,-0.008644546896042216,0.0,-0.008644546896042216,0.0,20
2022-02-08,1015197.1341733116,0.00406980593916173,0.0,0.00406980593916173,0.0,20
2022-02-15,996403.0737838444,-0.01851272009822169,0.0,-0.01851272009822169,0.0,20
2022-02-22,970541.2940572943,-0.025955138444464954,0.0,-0.025955138444464954,0.0,20
2022-03-02,952055.0871420485,-0.019047316202245423,0.0,-0.019047316202245423,0.0,20
2022-03-09,991344.5411416535,0.04126804691264985,0.0,0.04126804691264985,0.0,20
2022-03-16,997811.0073002831,0.006522925068193297,0.0,0.006522925068193297,0.0,20
2022-03-24,1012799.6281576499,0.0150215028173728,0.0,0.0150215028173728,0.0,20
2022-03-31,1034031.9107605723,0.02096395181497579,0.0,0.02096395181497579,0.0,20
2022-04-07,1017589.8399352828,-0.015900931735458368,0.0,-0.015900931735458368,0.0,20
2022-04-18,1003421.9308584344,-0.013923005636288122,0.0,-0.013923005636288122,0.0,20
2022-04-25,1006632.717893672,0.0031998374128525686,0.0,0.0031998374128525686,0.0,20
2022-05-02,970162.2363310336,-0.036230177019231924,0.0,-0.036230177019231924,0.0,20
2022-05-10,970804.1301375359,0.000661635531114646,0.0,0.000661635531114646,0.0,20
2022-05-17,964798.325347124,-0.006186422784955625,0.0,-0.006186422784955625,0.0,20
2022-05-24,986936.4647391511,0.022945872531507483,0.0,0.022945872531507483,0.0,20
2022-05-31,970600.0594560462,-0.01655264129633982,0.0,-0.01655264129633982,0.0,20
2022-06-07,938597.4662335232,-0.03297196709472516,0.0,-0.03297196709472516,0.0,20
2022-06-14,930444.2123549255,-0.008686635295656386,0.0,-0.008686635295656386,0.0,20
2022-06-21,944589.6262709744,0.015202860878942293,0.0,0.015202860878942293,0.0,20
2022-06-28,950032.2091891461,0.005761849131942887,0.0,0.005761849131942887,0.0,20
2022-07-05,967813.8324577054,0.018716863593220667,0.0,0.018716863593220667,0.0,20
2022-07-12,989610.3099435922,0.022521353544344258,0.0,0.022521353544344258,0.0,20
2022-07-19,998266.9834857122,0.008747557958054708,0.0,0.008747557958054708,0.0,20
2022-07-26,1053113.664720591,0.05494189644875069,0.0,0.05494189644875069,0.0,20
2022-08-02,1059188.7442294902,0.005768683583182943,0.0,0.005768683583182943,0.0,20
2022-08-10,1085225.1486941176,0.02458145878765694,0.0,0.02458145878765694,0.0,20
