Date,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks
2023-01-02,-0.01949252417205573,0.001,-0.020492524172055732,1.0,5
2023-01-09,0.006696248518029636,0.001219263869929056,0.00547698464810058,1.219263869929056,5
2023-01-16,-0.012270526194730288,0.0015094737047410722,-0.01377999989947136,1.5094737047410722,5
2023-01-23,-0.0008846061707370489,0.000490508418337501,-0.0013751145890745498,0.490508418337501,5
2023-01-31,0.03892227185686665,0.0007153332904019338,0.03820693856646471,0.7153332904019338,5
2023-02-07,0.013413736593652713,0.0015897795823207866,0.011823957011331926,1.5897795823207865,5
2023-02-14,-0.013508206035124445,0.0007106215434830163,-0.014218827578607462,0.7106215434830163,5
2023-02-21,-0.015257731959572751,0.0007568067030664075,-0.016014538662639157,0.7568067030664074,5
2023-02-28,0.01653700162963538,0.0008121905239276094,0.01572481110570777,0.8121905239276094,5
2023-03-08,-0.03710668512906412,0.0014849517484050697,-0.03859163687746919,1.4849517484050696,5
2023-03-15,0.027662484067662862,0.0019999373257151825,0.025662546741947678,1.9999373257151825,5
2023-03-22,-0.01426018634201121,0.0014892300683755622,-0.015749416410386772,1.4892300683755622,5
2023-03-29,0.026949156736755065,0.0010970298505438676,0.025852126886211198,1.0970298505438676,5
2023-04-10,0.02699743386989236,0.0019999683132918525,0.02499746555660051,1.9999683132918524,5
2023-04-18,0.020142010685932396,0.0013871141824306908,0.018754896503501706,1.3871141824306907,5
2023-04-25,0.010571700843339549,0.0014960635775516924,0.009075637265787856,1.4960635775516924,5
2023-05-03,0.01095188798869454,0.0015973617697399576,0.009354526218954582,1.5973617697399576,5
2023-05-10,0.009872324385983663,0.0014754999129629577,0.008396824473020707,1.4754999129629578,5
2023-05-17,0.011482343698250689,0.0010118176237019418,0.010470526074548746,1.0118176237019418,5
2023-05-24,0.03239091807392058,0.0016879806351388583,0.030702937438781726,1.6879806351388582,5
2023-05-31,0.00031326405167160927,0.0009028016189322724,-0.0005895375672606631,0.9028016189322723,5
2023-06-07,0.0008364908968164146,0.0011383544796933472,-0.00030186358287693257,1.1383544796933471,5
2023-06-14,-0.0016484113349135732,0.0012446360189254319,-0.002893047353839005,1.244636018925432,5
2023-06-21,0.015450304037905099,0.0012579677523726067,0.014192336285532492,1.2579677523726067,5
2023-06-28,0.02454310557656016,0.001068463654405481,0.02347464192215468,1.0684636544054809,5
2023-07-06,0.005911313061815883,0.0012033858347112484,0.004707927227104634,1.2033858347112485,5
2023-07-13,-0.014190945814036347,0.0007934759710572039,-0.01498442178509355,0.7934759710572039,5
2023-07-20,0.004619669119042402,0.0013416649498221296,0.003278004169220272,1.3416649498221296,5
2023-07-27,-0.004899985251896828,0.001366731926308362,-0.00626671717820519,1.366731926308362,5
2023-08-03,0.0010142349103469787,0.0009128745001203469,0.00010136041022663184,0.9128745001203469,5
2023-08-10,0.0065301790828067325,0.0017147042359313609,0.004815474846875372,1.714704235931361,5
2023-08-18,0.007992891177599546,0.001999942954840993,0.0059929482227585535,1.9999429548409928,5
2023-08-25,0.02548162929025144,0.001517205689920214,0.023964423600331224,1.517205689920214,5
2023-09-01,0.02450560606085382,0.0018058015442519823,0.022699804516601838,1.8058015442519824,5
2023-09-08,0.015496378255866958,0.0019999028321085978,0.013496475423758359,1.9999028321085977,5
2023-09-15,0.006257607002267032,0.0008521181772325445,0.005405488825034488,0.8521181772325445,5
2023-09-25,-0.01120812070826673,0.000908770047064405,-0.012116890755331136,0.908770047064405,5
2023-10-03,0.0019585001256462843,0.0010948897982084587,0.0008636103274378257,1.0948897982084587,5
2023-10-10,0.010822441144227464,0.0018779291513694259,0.008944511992858038,1.8779291513694258,5
2023-10-17,-0.03447833610659251,0.0018778458869093545,-0.036356181993501865,1.8778458869093544,5
2023-10-25,-0.0010519223307807377,0.002,-0.0030519223307807378,2.0,5
2023-11-01,0.02453734550442765,0.0017403027180045547,0.022797042786423097,1.7403027180045547,5
2023-11-08,0.006624876241584653,0.0010632145555194404,0.005561661686065213,1.0632145555194403,5
2023-11-16,-0.0074155517350522285,0.0011310935043267415,-0.00854664523937897,1.1310935043267414,5
2023-11-23,0.020726684552857682,0.0013144639026865283,0.019412220650171154,1.3144639026865281,5
2023-12-01,0.03817546521844293,0.0007853378026481989,0.03739012741579473,0.7853378026481989,5
2023-12-08,-0.009060032610170783,0.001081744346299645,-0.010141776956470427,1.081744346299645,5
2023-12-15,0.008852877898652288,0.0008383995047469982,0.00801447839390529,0.8383995047469982,5
2023-12-22,0.008443300487805071,0.000928958457940812,0.00751434202986426,0.928958457940812,5
2024-01-01,0.0027109806933897826,0.0006973726995703542,0.0020136079938194284,0.6973726995703541,5
2024-01-08,-0.0030080292627880597,0.0015516180989393286,-0.0045596473617273885,1.5516180989393284,5
2024-01-15,-0.01802517231681269,0.001385940771149723,-0.019411113087962412,1.3859407711497231,5
2024-01-23,-0.0022915401375116842,0.0008268734669773485,-0.0031184136044890326,0.8268734669773484,5
2024-01-31,0.01899783558459557,0.0019899727333626033,0.017007862851232968,1.9899727333626032,5
2024-02-07,-0.008187256307444107,0.002,-0.010187256307444107,2.0,5
2024-02-14,-0.0032843729014009546,0.0015776561576830678,-0.004862029059084023,1.5776561576830677,5
2024-02-21,-0.015822050743319535,0.0019286295464224232,-0.017750680289741957,1.9286295464224232,5
2024-02-28,-0.015267320367436716,0.0015160416358281246,-0.01678336200326484,1.5160416358281246,5
2024-03-06,0.006262238086695023,0.000902210359031539,0.005360027727663485,0.9022103590315389,5
2024-03-14,0.0055339177130788,0.0010813516828696765,0.004452566030209123,1.0813516828696765,5
2024-03-21,-0.01472494122585956,0.001882438241626653,-0.016607379467486215,1.882438241626653,5
2024-04-01,-0.004757131866064093,0.0014599980262757564,-0.00621712989233985,1.4599980262757564,5
2024-04-08,-0.007311745789147175,0.0017824598521949762,-0.00909420564134215,1.7824598521949762,5
2024-04-16,0.045519913980470256,0.0013284087890070228,0.04419150519146323,1.3284087890070229,5
