Date,IC,NStocks,Model
2023-01-02,-0.26165413533834586,20,LSTM
2023-01-03,-0.26315789473684204,20,LSTM
2023-01-04,-0.09022556390977443,20,LSTM
2023-01-05,-0.0631578947368421,20,LSTM
2023-01-06,0.1533834586466165,20,LSTM
2023-01-09,0.35639097744360904,20,LSTM
2023-01-10,0.3669172932330827,20,LSTM
2023-01-11,0.3218045112781954,20,LSTM
2023-01-12,0.37744360902255636,20,LSTM
2023-01-13,0.14586466165413534,20,LSTM
2023-01-16,-0.010526315789473682,20,LSTM
2023-01-17,-0.08270676691729321,20,LSTM
2023-01-18,0.12932330827067667,20,LSTM
2023-01-19,0.26766917293233083,20,LSTM
2023-01-20,0.37744360902255636,20,LSTM
2023-01-23,0.18045112781954886,20,LSTM
2023-01-24,0.312781954887218,20,LSTM
2023-01-25,-0.007518796992481202,20,LSTM
2023-01-27,-0.22857142857142856,20,LSTM
2023-01-30,0.07218045112781954,20,LSTM
2023-01-31,0.22255639097744356,20,LSTM
2023-02-01,-0.07669172932330826,20,LSTM
2023-02-02,-0.04962406015037594,20,LSTM
2023-02-03,0.10225563909774435,20,LSTM
2023-02-06,0.3639097744360902,20,LSTM
2023-02-07,0.26766917293233083,20,LSTM
2023-02-08,0.021052631578947364,20,LSTM
2023-02-09,-0.28421052631578947,20,LSTM
2023-02-10,-0.5834586466165413,20,LSTM
2023-02-13,-0.26917293233082706,20,LSTM
2023-02-14,-0.3954887218045112,20,LSTM
2023-02-15,-0.4661654135338345,20,LSTM
2023-02-16,-0.5759398496240601,20,LSTM
2023-02-17,-0.35488721804511275,20,LSTM
2023-02-20,-0.437593984962406,20,LSTM
2023-02-21,-0.30526315789473685,20,LSTM
2023-02-22,-0.1413533834586466,20,LSTM
2023-02-23,-0.03157894736842105,20,LSTM
2023-02-24,0.07218045112781954,20,LSTM
2023-02-27,-0.051127819548872175,20,LSTM
2023-02-28,-0.3654135338345864,20,LSTM
2023-03-01,-0.10526315789473684,20,LSTM
2023-03-02,-0.13082706766917293,20,LSTM
2023-03-03,0.0781954887218045,20,LSTM
2023-03-06,0.009022556390977442,20,LSTM
2023-03-08,0.15037593984962402,20,LSTM
2023-03-09,0.11278195488721804,20,LSTM
2023-03-10,0.193984962406015,20,LSTM
2023-03-13,0.18345864661654135,20,LSTM
2023-03-14,0.045112781954887216,20,LSTM
2023-03-15,-0.35488721804511275,20,LSTM
2023-03-16,-0.38646616541353385,20,LSTM
2023-03-17,-0.30977443609022554,20,LSTM
2023-03-20,-0.49022556390977434,20,LSTM
2023-03-21,-0.2150375939849624,20,LSTM
2023-03-22,-0.1819548872180451,20,LSTM
2023-03-23,0.09774436090225563,20,LSTM
2023-03-24,-0.20902255639097742,20,LSTM
2023-03-27,0.21954887218045113,20,LSTM
2023-03-28,0.10827067669172932,20,LSTM
2023-03-29,0.19548872180451127,20,LSTM
2023-03-31,0.0015037593984962405,20,LSTM
