Comparison,Metric,MeanDifference,CI95Lower,CI95Upper,PairedT,PValue,HAC_TStat,HAC_PValue,Observations
Naive - XGBoost,AbsoluteError,-0.0004378985781428399,-0.0005498518456042499,-0.0003257955767047297,-7.626562643528764,7.494252270860574e-14,-4.6990365351076875,2.613916944335638e-06,734
Naive - XGBoost,SquaredError,-3.1468000334910306e-05,-3.8978512066667306e-05,-2.386562140664238e-05,-8.092433928597382,2.4280513042589313e-15,-4.755024051998679,1.984227927207816e-06,734
