Strategy,RiskProfile,Gamma,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,TotalReturn,AverageTurnover,TotalTransactionCosts,Observations
XGB_TurnoverAware_5Day,conservative,0.01,-0.007596599845896446,0.15066427056360854,0.12677701093552374,0.1971763384444003,-0.12314318001603752,-0.007236169059920861,0.27515222315542204,0.013207306711460259,48
XGB_TurnoverAware_5Day,moderate,0.01,-0.01625148732302706,0.15384647725351847,0.07032547769771835,0.1107789500176915,-0.12207799255265706,-0.01548363015562293,0.25166484375273596,0.012079912500131325,48
XGB_TurnoverAware_5Day,aggressive,0.005,0.07290719952562097,0.15447508676581417,0.631972107122329,1.2699984999192657,-0.07579395025037805,0.0693178551781648,0.7727636547667958,0.0370926554288062,48
