Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks
2022-01-03,1034784.3586469702,0.035784358646970375,0.001,0.034784358646970374,1.0,5
2022-01-10,1022689.3072404189,-0.010488475290026833,0.0012000000000000001,-0.011688475290026833,1.2000000000000002,5
2022-01-17,1001387.4542477934,-0.01962925170118906,0.0012000000000000001,-0.020829251701189058,1.2000000000000002,5
2022-01-24,1035764.5186122034,0.03512943384559664,0.0008,0.03432943384559664,0.8,5
2022-02-01,1026077.1826686051,-0.008152836257200789,0.0012000000000000001,-0.009352836257200788,1.2000000000000002,5
2022-02-08,1020998.6964079434,-0.0033494193482147844,0.0016,-0.004949419348214784,1.6,5
2022-02-15,987833.027228767,-0.03088355683103137,0.0016,-0.03248355683103137,1.6,5
2022-02-22,955170.5857860871,-0.031864739224512516,0.0012000000000000001,-0.033064739224512515,1.2000000000000002,5
2022-03-02,960553.6046684689,0.0068356623230307716,0.0012000000000000001,0.005635662323030772,1.2000000000000002,5
2022-03-09,985063.8567656339,0.027116797790399785,0.0016,0.025516797790399785,1.6,5
2022-03-16,991275.6676573282,0.00710599818380308,0.0008,0.00630599818380308,0.8,5
2022-03-24,1009120.5493548398,0.019201936575003808,0.0012000000000000001,0.018001936575003808,1.2000000000000002,5
2022-03-31,992349.4377801266,-0.015019532310025306,0.0016,-0.016619532310025307,1.6,5
2022-04-07,967276.3091381068,-0.023666431044802167,0.0016,-0.025266431044802168,1.6,5
2022-04-18,967457.9117173941,0.0013877463322236239,0.0012000000000000001,0.00018774633222362375,1.2000000000000002,5
2022-04-25,948494.3778706739,-0.018801404481831062,0.0008,-0.01960140448183106,0.8,5
2022-05-02,938152.1286960867,-0.009703859227721656,0.0012000000000000001,-0.010903859227721656,1.2000000000000002,5
2022-05-10,943422.4595411483,0.00721777848586946,0.0016,0.0056177784858694605,1.6,5
2022-05-17,956974.961375093,0.015565252487773355,0.0012000000000000001,0.014365252487773355,1.2000000000000002,5
2022-05-24,969561.9143179224,0.014352855038906265,0.0012000000000000001,0.013152855038906265,1.2000000000000002,5
2022-05-31,943112.8470498561,-0.02567939998207639,0.0016,-0.027279399982076392,1.6,5
2022-06-07,905762.9548867282,-0.038402781660711975,0.0012000000000000001,-0.039602781660711975,1.2000000000000002,5
2022-06-14,913460.1654935592,0.00969804086742944,0.0012000000000000001,0.008498040867429441,1.2000000000000002,5
2022-06-21,905946.7886192703,-0.007025182835673299,0.0012000000000000001,-0.008225182835673299,1.2000000000000002,5
2022-06-28,951343.8979384394,0.051310127757456386,0.0012000000000000001,0.05011012775745639,1.2000000000000002,5
2022-07-05,967279.4198648899,0.017550537803398807,0.0008,0.01675053780339881,0.8,5
2022-07-12,992092.279838824,0.02645221534166408,0.0008,0.02565221534166408,0.8,5
2022-07-19,1018306.0868753571,0.027622750755395397,0.0012000000000000001,0.026422750755395397,1.2000000000000002,5
2022-07-26,1051944.75902213,0.03383394979204356,0.0008,0.033033949792043556,0.8,5
2022-08-02,1063137.3751160726,0.011839927617821957,0.0012000000000000001,0.010639927617821957,1.2000000000000002,5
2022-08-10,1051878.350166302,-0.009390376383429625,0.0012000000000000001,-0.010590376383429625,1.2000000000000002,5
2022-08-18,1053503.5635946307,0.002745058350209315,0.0012000000000000001,0.0015450583502093149,1.2000000000000002,5
2022-08-25,1069768.1741927464,0.01623859096462823,0.0008,0.015438590964628228,0.8,5
2022-09-02,1090109.1851225267,0.01981441024372372,0.0008,0.01901441024372372,0.8,5
2022-09-09,1084629.125511779,-0.00422707406334883,0.0008,-0.00502707406334883,0.8,5
2022-09-16,1070373.7712680427,-0.012343067900753608,0.0008,-0.013143067900753608,0.8,5
2022-09-23,1080643.5238277246,0.010794548031119637,0.0012000000000000001,0.009594548031119638,1.2000000000000002,5
2022-09-30,1070446.414389329,-0.007836145420348025,0.0016,-0.009436145420348025,1.6,5
2022-10-10,1095995.1418950881,0.024667357732553137,0.0008,0.02386735773255314,0.8,5
2022-10-17,1112449.2338347933,0.015812924155169633,0.0008,0.015012924155169633,0.8,5
2022-10-24,1120885.1151254335,0.008783160681912917,0.0012000000000000001,0.007583160681912917,1.2000000000000002,5
2022-11-01,1129113.0885760898,0.00894060372434826,0.0016,0.00734060372434826,1.6,5
2022-11-09,1145040.0774366115,0.015305751692779673,0.0012000000000000001,0.014105751692779674,1.2000000000000002,5
2022-11-16,1161591.3121490434,0.015254720877093505,0.0008,0.014454720877093504,0.8,5
2022-11-23,1177036.3524961728,0.014896449608042189,0.0016,0.013296449608042188,1.6,5
2022-11-30,1170037.7805100577,-0.005545926794251396,0.0004,-0.005945926794251396,0.4,5
2022-12-07,1160867.6423269631,-0.0066374718627436515,0.0012000000000000001,-0.007837471862743651,1.2000000000000002,5
2022-12-14,1138730.9451540918,-0.017869096566856087,0.0012000000000000001,-0.019069096566856087,1.2000000000000002,5
2022-12-21,1151044.5257352944,0.011613424043320907,0.0008,0.010813424043320906,0.8,5
2022-12-28,1117086.9899281168,-0.028701496291366577,0.0008,-0.029501496291366575,0.8,5
2023-01-04,1120788.5018101411,0.004513539514288505,0.0012000000000000001,0.0033135395142885045,1.2000000000000002,5
2023-01-11,1126234.8311252904,0.0060593729382063975,0.0012000000000000001,0.004859372938206397,1.2000000000000002,5
2023-01-18,1104454.5082355458,-0.01853905992587942,0.0008,-0.019339059925879417,0.8,5
2023-01-25,1125010.1237850003,0.019811554750492906,0.0012000000000000001,0.018611554750492906,1.2000000000000002,5
2023-02-02,1142649.931142922,0.016479687662342198,0.0008,0.0156796876623422,0.8,5
2023-02-09,1134120.6558791308,-0.006664469240600997,0.0008,-0.007464469240600997,0.8,5
2023-02-16,1116109.4607263845,-0.015081198406341288,0.0008,-0.015881198406341286,0.8,5
2023-02-23,1119639.3398236877,0.0043626638976841815,0.0012000000000000001,0.0031626638976841813,1.2000000000000002,5
2023-03-02,1088303.3727307876,-0.02678755454397891,0.0012000000000000001,-0.02798755454397891,1.2000000000000002,5
2023-03-10,1096735.8619638958,0.009748289166787508,0.002,0.007748289166787508,2.0,5
2023-03-17,1086788.5364871898,-0.007469937276322441,0.0016,-0.00906993727632244,1.6,5
2023-03-24,1112044.2615201403,0.02483885851297629,0.0016,0.023238858512976288,1.6,5
2023-04-03,1104435.9622924523,-0.005641723383642671,0.0012000000000000001,-0.006841723383642671,1.2000000000000002,5
2023-04-12,1096438.5845059082,-0.006441142139145997,0.0008,-0.007241142139145998,0.8,5
2023-04-20,1130415.376661931,0.03178832222448099,0.0008,0.03098832222448099,0.8,5
2023-04-27,1151120.2345414788,0.01911615024619389,0.0008,0.01831615024619389,0.8,5
