Date,IC,NStocks,Model
2023-01-02,-0.43909774436090226,20,Naive
2023-01-03,-0.4857142857142857,20,Naive
2023-01-04,-0.46917293233082696,20,Naive
2023-01-05,-0.29323308270676685,20,Naive
2023-01-06,-0.03308270676691729,20,Naive
2023-01-09,0.10075187969924812,20,Naive
2023-01-10,-0.021052631578947364,20,Naive
2023-01-11,-0.0706766917293233,20,Naive
2023-01-12,-0.08421052631578946,20,Naive
2023-01-13,-0.44360902255639095,20,Naive
2023-01-16,-0.4947368421052631,20,Naive
2023-01-17,-0.3744360902255639,20,Naive
2023-01-18,-0.3278195488721804,20,Naive
2023-01-19,-0.28421052631578947,20,Naive
2023-01-20,0.03909774436090225,20,Naive
2023-01-23,-0.016541353383458645,20,Naive
2023-01-24,-0.060150375939849614,20,Naive
2023-01-25,-0.030075187969924807,20,Naive
2023-01-27,0.21954887218045113,20,Naive
2023-01-30,-0.07969924812030074,20,Naive
2023-01-31,0.16541353383458643,20,Naive
2023-02-01,0.40451127819548865,20,Naive
2023-02-02,0.5022556390977443,20,Naive
2023-02-03,0.4496240601503759,20,Naive
2023-02-06,0.2601503759398496,20,Naive
2023-02-07,0.2796992481203007,20,Naive
2023-02-08,0.13684210526315788,20,Naive
2023-02-09,-0.1639097744360902,20,Naive
2023-02-10,-0.15789473684210525,20,Naive
2023-02-13,0.22556390977443608,20,Naive
2023-02-14,-0.060150375939849614,20,Naive
2023-02-15,-0.4270676691729323,20,Naive
2023-02-16,-0.6616541353383457,20,Naive
2023-02-17,-0.42255639097744363,20,Naive
2023-02-20,-0.4676691729323308,20,Naive
2023-02-21,-0.3233082706766917,20,Naive
2023-02-22,-0.18345864661654135,20,Naive
2023-02-23,-0.048120300751879695,20,Naive
2023-02-24,-0.09774436090225563,20,Naive
2023-02-27,-0.10977443609022557,20,Naive
2023-02-28,-0.28120300751879695,20,Naive
2023-03-01,-0.362406015037594,20,Naive
2023-03-02,-0.5187969924812029,20,Naive
2023-03-03,-0.556390977443609,20,Naive
2023-03-06,-0.5819548872180451,20,Naive
2023-03-08,-0.3142857142857143,20,Naive
2023-03-09,-0.21654135338345865,20,Naive
2023-03-10,-0.024060150375939848,20,Naive
2023-03-13,-0.06466165413533834,20,Naive
2023-03-14,0.12030075187969923,20,Naive
2023-03-15,0.21654135338345865,20,Naive
2023-03-16,0.12781954887218044,20,Naive
2023-03-17,-0.18345864661654135,20,Naive
2023-03-20,0.11127819548872178,20,Naive
2023-03-21,-0.21804511278195485,20,Naive
2023-03-22,-0.45112781954887216,20,Naive
2023-03-23,0.1413533834586466,20,Naive
