Date,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks
2023-01-02,-0.017818687803458647,0.001,-0.018818687803458647,1.0,5
2023-01-09,0.007585086996913756,0.0011886617770411419,0.006396425219872614,1.1886617770411418,5
2023-01-16,-0.006709754559423011,0.0013136690887420714,-0.008023423648165082,1.3136690887420714,5
2023-01-23,-0.00491655012504867,0.000683042763423313,-0.005599592888471983,0.6830427634233129,5
2023-01-31,0.03469613401173786,0.0010360023553662107,0.03366013165637165,1.0360023553662108,5
2023-02-07,0.012459726460666991,0.0014631337721309077,0.010996592688536084,1.4631337721309077,5
2023-02-14,-0.012806628293396504,0.0008055538289365843,-0.013612182122333089,0.8055538289365842,5
2023-02-21,-0.012620558342655692,0.0008569772055698642,-0.013477535548225558,0.8569772055698641,5
2023-02-28,0.01799728734220563,0.0006696364044047997,0.01732765093780083,0.6696364044047997,5
2023-03-08,-0.02940741550933704,0.001176328960310583,-0.030583744469647622,1.1763289603105829,5
2023-03-15,0.027532719393591067,0.00199122783514919,0.025541491558441876,1.99122783514919,5
2023-03-22,-0.011915445800451716,0.001268547824153387,-0.013183993624605102,1.2685478241533872,5
2023-03-29,0.024664037439688445,0.0010232200749249062,0.02364081736476354,1.023220074924906,5
2023-04-10,0.025275002889107726,0.0019959483676477165,0.02327905452146001,1.9959483676477165,5
2023-04-18,0.020171048394719695,0.0014177303511452382,0.018753318043574458,1.4177303511452382,5
2023-04-25,0.008344726020997286,0.001266740857245708,0.007077985163751578,1.266740857245708,5
2023-05-03,0.011913698293392661,0.0015153845587396757,0.010398313734652985,1.5153845587396757,5
2023-05-10,0.011144864978653206,0.0014760931964220214,0.009668771782231186,1.4760931964220214,5
2023-05-17,0.011699273497524455,0.000981396802209948,0.010717876695314507,0.9813968022099481,5
2023-05-24,0.027786917459393472,0.001415812802863725,0.026371104656529747,1.415812802863725,5
2023-05-31,0.0016297845489764522,0.000958554604508595,0.0006712299444678572,0.958554604508595,5
2023-06-07,0.004222308953200585,0.0007480593713633915,0.003474249581837193,0.7480593713633914,5
2023-06-14,0.0019855149290023393,0.0011132162611952542,0.0008722986678070851,1.1132162611952543,5
2023-06-21,0.013881911836999545,0.0009565453048521313,0.012925366532147414,0.9565453048521313,5
2023-06-28,0.024323343233461598,0.0010170050714565968,0.023306338162005003,1.0170050714565968,5
2023-07-06,0.007356927633732528,0.001246324875132714,0.006110602758599815,1.2463248751327138,5
2023-07-13,-0.006883193435572559,0.0011258214950984895,-0.008009014930671049,1.1258214950984895,5
2023-07-20,0.00170879945624154,0.0011433002319215517,0.0005654992243199883,1.1433002319215517,5
2023-07-27,-0.0076606050806676,0.0011955359606490266,-0.008856141041316627,1.1955359606490266,5
