RiskProfile,Gamma,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,TotalReturn,AverageTurnover,TotalTransactionCosts,Observations
aggressive,0.0,0.07640395648038556,0.14061175840893633,0.6892279988283687,1.2156931532250423,-0.18696640561492173,0.3315219561554945,1.078806133541402,0.2114460021741148,196
aggressive,0.5,0.12406734105771422,0.13601396138501246,1.027034530633905,1.7687484674685074,-0.17875785394037047,0.5758893747811009,1.2884556725921186,0.2525373118280553,196
aggressive,1.0,0.1127072460160008,0.13568227040478043,0.9541723970622755,1.7144079382228434,-0.19786378524423476,0.5148520874239146,1.2906455762728857,0.25296653294948557,196
aggressive,2.0,0.09869358790216531,0.13996005364114578,0.8385960801419433,1.4223058640015322,-0.20686288703797717,0.4419975297451557,1.2665849790348918,0.24825065589083878,196
aggressive,5.0,0.12444256843374135,0.13664256663559052,1.0256102741373412,1.6654212156214427,-0.16503785101268975,0.5779361155832266,1.2924115756004309,0.25331266881768444,196
conservative,0.0,0.08706835868139473,0.1313127300422244,0.7613311504243963,1.246876991867718,-0.18881626583340616,0.38356281155037286,0.9716299874869899,0.19043947754745005,196
conservative,0.5,0.10825181007869555,0.1326993120229858,0.9003314525309348,1.470440804449085,-0.1991994838887925,0.4913994186837398,1.24087771534529,0.2432120322076768,196
conservative,1.0,0.10367924625934988,0.13621704168917734,0.8500868568988136,1.4370628074985936,-0.18894104904616116,0.46761176573621,1.2885697213025222,0.2525596653752944,196
conservative,2.0,0.11341611538347651,0.13536112935261935,0.9196930633548697,1.4714532898831296,-0.18007215649428276,0.5186085639186782,1.3179833064726247,0.2583247280686345,196
conservative,5.0,0.11067097613212407,0.1358235038989434,0.8988593439691783,1.4209695683745962,-0.20326044888171158,0.5040997719425586,1.3415069103074062,0.2629353544202516,196
moderate,0.0,0.08231187175689492,0.1346687208218129,0.7285946324511932,1.247768074830876,-0.18863224730964778,0.3601686257602137,1.0349273820671976,0.20284576688517075,196
moderate,0.5,0.11605181860907599,0.13742148164436266,0.9404245589988453,1.6104111732362303,-0.1991290273294093,0.5326365411007623,1.265694116896615,0.2480760469117365,196
moderate,1.0,0.09749718597380874,0.1363650723752957,0.823467981356579,1.4058137187809554,-0.20097863108112257,0.43590065328976335,1.3054796842237686,0.2558740181078586,196
moderate,2.0,0.1181137491408879,0.136735181350328,0.9579840883191963,1.6048674194880366,-0.1904994578628474,0.5436776618405417,1.3223479496441624,0.25918019813025583,196
moderate,5.0,0.1260592309371562,0.13556057589806472,1.017456825942276,1.756156970234722,-0.1813379983218527,0.5867770635885905,1.329472122191411,0.2605765359495166,196
