Strategy,TopK,RiskProfile,Gamma,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,TotalReturn,AverageTurnover,TotalTransactionCosts,Observations,Source
BuyHold,20.0,,,0.144553214837205,0.1252283460275003,1.200204202231065,1.9305295429131633,-0.1365233313824384,0.690553223994171,0.0051020408163265,0.001,196,FinalBacktest
EqualWeight,20.0,,,0.144553214837205,0.1252283460275003,1.200204202231065,1.9305295429131633,-0.1365233313824384,0.690553223994171,0.0051020408163265,0.001,196,FinalBacktest
RiskOnly,5.0,,,0.1253994484912672,0.1353389127802407,0.9595088909632888,1.422369981202712,-0.1292683826558914,0.5831645175231301,0.3540816326530612,0.0694,196,FinalBacktest
RiskOnly,10.0,,,0.1482151246475125,0.1238804229523847,1.1989717758971792,1.890663146136476,-0.124019123333514,0.7116848290360756,0.2347161693878162,0.0460043692000119,196,FinalBacktest
XGB_EqualWeight,5.0,,,0.0781394715962866,0.1465726220652899,0.6909668564490323,1.1740621586092888,-0.2195451213518234,0.3398902759189908,1.1418367346938776,0.2238,196,FinalBacktest
XGB_EqualWeight,10.0,,,0.1295326124288451,0.1316192047055196,1.051985591074307,1.722905774451759,-0.1796051616056044,0.6058961495348683,0.7612244897959183,0.1492,196,FinalBacktest
XGB_Risk,10.0,conservative,,0.0850880981990711,0.1317136330346028,0.7455421037260267,1.2214025291655213,-0.1932487694338654,0.3737871323742239,0.9844185745741548,0.1929460406165343,196,FinalBacktest
XGB_Risk,10.0,moderate,,0.0784690582025846,0.1360962710393017,0.6965204914871775,1.1859250910128027,-0.1947142477126741,0.3414838826033781,1.0602780162653274,0.2078144911880041,196,FinalBacktest
XGB_Risk,10.0,aggressive,,0.0711991538589786,0.142296824960405,0.6492865667317909,1.161353580800462,-0.1959882396995367,0.3066581161721409,1.1105785093807414,0.2176733878386254,196,FinalBacktest
XGB_TurnoverAware,,conservative,0.01,0.1058098578682371,0.1375805086457091,0.8225459896666613,1.4970007256050333,-0.3711729395402808,0.6175914875886985,0.0996804696056661,0.0240229931749655,241,
