Strategy,RiskProfile,Gamma,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,TotalReturn,AverageTurnover,TotalTransactionCosts,Observations
BuyHold,,,0.09335339325353176,0.1285399304158296,0.7845058979987621,1.2969721833118282,-0.07537184253287332,0.08871652861061041,0.020833333333333332,0.001,48
EqualWeight,,,0.07948661396115586,0.14433647968452132,0.6552372685552469,1.0777452917178025,-0.08570325611080654,0.07556209139331527,0.85,0.0408,48
RiskOnly,,,0.06997534009072615,0.15617873924032344,0.6092247884918888,1.1288084153172955,-0.0812145435396644,0.06653476815013892,1.0910815258276818,0.05237191323972873,48
XGB_EqualWeight,,,0.07948661396115586,0.14433647968452132,0.6552372685552469,1.0777452917178025,-0.08570325611080654,0.07556209139331527,0.85,0.0408,48
XGB_Risk,conservative,,0.065995667465649,0.15608657858029673,0.5855993268635497,1.0821116119890992,-0.08292910305316703,0.06275645625081716,1.099483553222807,0.052775210554694744,48
XGB_Risk,moderate,,0.06997534009072615,0.15617873924032344,0.6092247884918888,1.1288084153172955,-0.0812145435396644,0.06653476815013892,1.0910815258276818,0.05237191323972873,48
XGB_Risk,aggressive,,0.07408966313076149,0.15701864251088263,0.6312456424404848,1.1753298768004248,-0.0812145435396644,0.0704402140673166,1.0870406433860784,0.05217795088253176,48
XGB_TurnoverAware,conservative,0.01,-0.006820294098625279,0.15455289042304104,0.13239686169318124,0.20764940191424008,-0.12314317233135441,-0.0064965755040802264,0.2605719025991969,0.012507451324761448,48
XGB_TurnoverAware,moderate,0.01,0.0008890624026809402,0.15418810464934096,0.18244179935297072,0.29564840051450286,-0.12207803598982503,0.0008467081797263187,0.26120638658851153,0.012537906556248552,48
XGB_TurnoverAware,aggressive,0.005,0.0729071989908987,0.15447508667547996,0.631972104173933,1.2699984933152835,-0.07579395025037783,0.06931785467060902,0.7727636557941316,0.037092655478118325,48
