CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,TotalReturn,AverageTurnover,TotalTransactionCosts,Observations,Strategy,RiskProfile,Gamma,CostBps
0.09322465907182265,0.1280960421407795,0.7867157733915892,1.3402739405047253,-0.07355157931434608,0.08859444424397545,0.020833333333333443,0.0010000000000000052,48,BuyHold,,,10.0
0.09036933332663755,0.12826495455655781,0.7654555203549419,1.2660806088389482,-0.07545797393421472,0.08588643534256679,0.038068097550212954,0.0018272686824102222,48,EqualWeight,,,10.0
0.13805300909239415,0.12782659964115664,1.1120179619466446,2.029387671094551,-0.06671928769210012,0.1310663631601099,0.22738688214935088,0.010914570343168842,48,RiskOnly,,,10.0
0.09403250466498103,0.14348533368798527,0.7542607906796911,1.351292601305182,-0.07491309031802673,0.08936054892562573,0.818787338932539,0.039301792268761876,48,XGB_EqualWeight,,,10.0
0.048467048059135154,0.16211816360231243,0.46887282009921993,1.0034740574028187,-0.08338057068130922,0.04610670665077765,1.0987649324848372,0.05274071675927218,48,XGB_Risk,conservative,,10.0
0.047965276525218536,0.16138916427178507,0.4673254504465411,1.0155974260783942,-0.08338057068130889,0.045629899378449856,1.1035851421048606,0.05297208682103331,48,XGB_Risk,moderate,,10.0
0.04931650472737581,0.16142799784922515,0.4752450693979725,1.033056954662332,-0.083380570681309,0.04691387617502074,1.1035851421048604,0.0529720868210333,48,XGB_Risk,aggressive,,10.0
0.02015460555902826,0.14785290572237766,0.3145478498043325,0.6156604255269484,-0.08600794110297583,0.019185715536396364,0.6932729612335878,0.03327710213921222,48,XGB_TurnoverAware,conservative,0.02,10.0
0.01821762562954765,0.14539878920430765,0.30438867745126363,0.579045796106787,-0.08886634360983758,0.017342641415424298,0.7052038639736695,0.03384978547073614,48,XGB_TurnoverAware,moderate,0.02,10.0
0.013775920200386649,0.1447595983583357,0.27483911840978975,0.5368666856441907,-0.0904755159539512,0.013115641247121834,0.6982934542827445,0.03351808580557174,48,XGB_TurnoverAware,aggressive,0.02,10.0
