Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks,Strategy,RiskProfile
2025-01-01,1003275.2956574231,0.004275295657423017,0.001,0.003275295657423017,1.0,20,BuyHold,
2025-01-08,984931.8624267197,-0.01828354920140174,0.0,-0.01828354920140174,0.0,20,BuyHold,
2025-01-15,988114.6421048965,0.0032314719419623827,0.0,0.0032314719419623827,0.0,20,BuyHold,
2025-01-22,984328.1937058205,-0.003831993007420764,0.0,-0.003831993007420764,0.0,20,BuyHold,
2025-01-29,1013811.4783414307,0.029952697508958792,0.0,0.029952697508958792,0.0,20,BuyHold,
2025-02-04,977979.7034129523,-0.03534362718707651,0.0,-0.03534362718707651,0.0,20,BuyHold,
2025-02-11,977036.5062074844,-0.0009644343355759144,0.0,-0.0009644343355759144,0.0,20,BuyHold,
2025-02-18,959683.5098134062,-0.017760847505521093,0.0,-0.017760847505521093,0.0,20,BuyHold,
2025-02-25,946931.5077458738,-0.013287716145098494,0.0,-0.013287716145098494,0.0,20,BuyHold,
2025-03-05,954903.086244345,0.008418326387139796,0.0,0.008418326387139796,0.0,20,BuyHold,
2025-03-12,975808.954882782,0.021893183653495463,0.0,0.021893183653495463,0.0,20,BuyHold,
2025-03-21,984445.9352678277,0.008851097688566734,0.0,0.008851097688566734,0.0,20,BuyHold,
2025-03-28,937398.6392378608,-0.04779063465498212,0.0,-0.04779063465498212,0.0,20,BuyHold,
2025-04-07,983039.4723681955,0.048688819483931,0.0,0.048688819483931,0.0,20,BuyHold,
2025-04-16,1015279.4766377239,0.03279624590440955,0.0,0.03279624590440955,0.0,20,BuyHold,
2025-04-24,1014983.2571284685,-0.00029176154553656186,0.0,-0.00029176154553656186,0.0,20,BuyHold,
2025-05-02,1001771.9923147421,-0.01301623915561223,0.0,-0.01301623915561223,0.0,20,BuyHold,
2025-05-09,1034264.0735005036,0.032434607310875,0.0,0.032434607310875,0.0,20,BuyHold,
2025-05-16,1026022.0657132603,-0.007968958797290426,0.0,-0.007968958797290426,0.0,20,BuyHold,
2025-05-23,1020331.8883649332,-0.005545862548649416,0.0,-0.005545862548649416,0.0,20,BuyHold,
2025-05-30,1026322.4417343802,0.00587118116934171,0.0,0.00587118116934171,0.0,20,BuyHold,
2025-06-06,1018113.8102414807,-0.007998101921095846,0.0,-0.007998101921095846,0.0,20,BuyHold,
2025-06-13,1033632.7587830748,0.015242842583495841,0.0,0.015242842583495841,0.0,20,BuyHold,
2025-06-20,1050485.8041789937,0.01630467422081372,0.0,0.01630467422081372,0.0,20,BuyHold,
2025-06-27,1044319.2176933845,-0.0058702235299873395,0.0,-0.0058702235299873395,0.0,20,BuyHold,
2025-07-04,1036787.0244038013,-0.007212539194883072,0.0,-0.007212539194883072,0.0,20,BuyHold,
2025-07-11,1025599.5503455078,-0.010790522831559124,0.0,-0.010790522831559124,0.0,20,BuyHold,
