Date,IC,NStocks,Model
2023-06-20,0.10526315789473684,20,RandomForest
2023-06-21,0.22556390977443608,20,RandomForest
2023-06-22,0.2270676691729323,20,RandomForest
2023-06-23,0.19999999999999998,20,RandomForest
2023-06-26,-0.018045112781954885,20,RandomForest
2023-06-27,0.07518796992481201,20,RandomForest
2023-06-28,0.04060150375939849,20,RandomForest
2023-06-30,0.39097744360902253,20,RandomForest
2023-07-03,0.23458646616541348,20,RandomForest
2023-07-04,0.18496240601503755,20,RandomForest
2023-07-05,-0.030075187969924807,20,RandomForest
2023-07-06,0.37744360902255636,20,RandomForest
2023-07-07,0.14736842105263157,20,RandomForest
2023-07-10,0.05563909774436089,20,RandomForest
2023-07-11,-0.11578947368421053,20,RandomForest
2023-07-12,-0.03609022556390977,20,RandomForest
2023-07-13,-0.20902255639097742,20,RandomForest
2023-07-14,-0.38195488721804516,20,RandomForest
2023-07-17,-0.25864661654135335,20,RandomForest
2023-07-18,-0.22406015037593985,20,RandomForest
2023-07-19,-0.11428571428571428,20,RandomForest
2023-07-20,-0.15488721804511277,20,RandomForest
2023-07-21,0.24060150375939846,20,RandomForest
2023-07-24,0.03308270676691729,20,RandomForest
2023-07-25,0.015037593984962403,20,RandomForest
2023-07-26,0.1263157894736842,20,RandomForest
2023-07-27,-0.060150375939849614,20,RandomForest
2023-07-28,0.30225563909774433,20,RandomForest
2023-07-31,-0.05714285714285714,20,RandomForest
2023-08-01,0.07969924812030074,20,RandomForest
2023-08-02,0.060150375939849614,20,RandomForest
2023-08-03,-0.09172932330827067,20,RandomForest
2023-08-04,-0.20300751879699244,20,RandomForest
2023-08-07,0.015037593984962403,20,RandomForest
2023-08-08,-0.018045112781954885,20,RandomForest
2023-08-09,0.06616541353383458,20,RandomForest
2023-08-10,0.3533834586466165,20,RandomForest
2023-08-11,-0.08120300751879699,20,RandomForest
2023-08-14,-0.060150375939849614,20,RandomForest
2023-08-16,0.20902255639097742,20,RandomForest
2023-08-17,0.04661654135338346,20,RandomForest
2023-08-18,0.0631578947368421,20,RandomForest
2023-08-21,0.25864661654135335,20,RandomForest
2023-08-22,0.3443609022556391,20,RandomForest
2023-08-23,-0.19097744360902258,20,RandomForest
2023-08-24,-0.4195488721804511,20,RandomForest
2023-08-25,-0.3759398496240601,20,RandomForest
2023-08-28,-0.12932330827067667,20,RandomForest
2023-08-29,-0.04962406015037594,20,RandomForest
2023-08-30,-0.13984962406015036,20,RandomForest
2023-08-31,-0.16992481203007515,20,RandomForest
2023-09-01,0.05263157894736842,20,RandomForest
2023-09-04,-0.3533834586466165,20,RandomForest
2023-09-05,-0.1639097744360902,20,RandomForest
2023-09-06,-0.08721804511278194,20,RandomForest
2023-09-07,-0.06165413533834586,20,RandomForest
2023-09-08,0.12180451127819547,20,RandomForest
2023-09-11,0.23909774436090225,20,RandomForest
2023-09-12,0.1894736842105263,20,RandomForest
2023-09-13,0.08421052631578946,20,RandomForest
2023-09-14,-0.3789473684210526,20,RandomForest
2023-09-15,-0.4030075187969925,20,RandomForest
2023-09-18,-0.6586466165413534,20,RandomForest
2023-09-20,-0.41353383458646614,20,RandomForest
2023-09-21,-0.7218045112781954,20,RandomForest
2023-09-22,-0.613533834586466,20,RandomForest
2023-09-25,-0.32481203007518794,20,RandomForest
2023-09-26,0.04360902255639097,20,RandomForest
2023-09-27,0.17593984962406017,20,RandomForest
2023-09-28,-0.08872180451127819,20,RandomForest
