Date,IC,NStocks,Model
2023-01-02,-0.38496240601503756,20,XGBoost
2023-01-03,-0.5203007518796992,20,XGBoost
2023-01-04,-0.21954887218045113,20,XGBoost
2023-01-05,-0.27368421052631575,20,XGBoost
2023-01-06,-0.019548872180451125,20,XGBoost
2023-01-09,0.25864661654135335,20,XGBoost
2023-01-10,0.18646616541353384,20,XGBoost
2023-01-11,0.010526315789473682,20,XGBoost
2023-01-12,-0.34586466165413526,20,XGBoost
2023-01-13,-0.22105263157894736,20,XGBoost
2023-01-16,-0.3984962406015037,20,XGBoost
2023-01-17,-0.09774436090225563,20,XGBoost
2023-01-18,0.12330827067669171,20,XGBoost
2023-01-19,-0.23458646616541348,20,XGBoost
2023-01-20,0.15789473684210525,20,XGBoost
2023-01-23,0.10827067669172932,20,XGBoost
2023-01-24,0.09774436090225563,20,XGBoost
2023-01-25,0.2120300751879699,20,XGBoost
2023-01-27,0.23458646616541348,20,XGBoost
2023-01-30,0.17142857142857143,20,XGBoost
2023-01-31,0.23759398496240602,20,XGBoost
2023-02-01,-0.19248120300751878,20,XGBoost
2023-02-02,0.34586466165413526,20,XGBoost
2023-02-03,-0.06766917293233082,20,XGBoost
2023-02-06,0.38646616541353385,20,XGBoost
2023-02-07,0.20751879699248119,20,XGBoost
2023-02-08,0.24511278195488717,20,XGBoost
2023-02-09,0.2150375939849624,20,XGBoost
2023-02-10,0.33233082706766914,20,XGBoost
2023-02-13,-0.18345864661654135,20,XGBoost
2023-02-14,-0.0015037593984962405,20,XGBoost
2023-02-15,0.06616541353383458,20,XGBoost
2023-02-16,-0.24060150375939846,20,XGBoost
2023-02-17,-0.306766917293233,20,XGBoost
2023-02-20,-0.13984962406015036,20,XGBoost
2023-02-21,0.06917293233082707,20,XGBoost
2023-02-22,0.20300751879699244,20,XGBoost
2023-02-23,0.13383458646616542,20,XGBoost
2023-02-24,0.12481203007518797,20,XGBoost
2023-02-27,-0.1639097744360902,20,XGBoost
2023-02-28,0.1609022556390977,20,XGBoost
2023-03-01,-0.29323308270676685,20,XGBoost
2023-03-02,-0.4781954887218045,20,XGBoost
2023-03-03,-0.051127819548872175,20,XGBoost
2023-03-06,0.030075187969924807,20,XGBoost
2023-03-08,0.16691729323308271,20,XGBoost
2023-03-09,0.030075187969924807,20,XGBoost
2023-03-10,0.3714285714285714,20,XGBoost
2023-03-13,0.58796992481203,20,XGBoost
2023-03-14,0.6721804511278194,20,XGBoost
2023-03-15,0.3744360902255639,20,XGBoost
2023-03-16,0.31127819548872177,20,XGBoost
2023-03-17,-0.004511278195488721,20,XGBoost
2023-03-20,-0.08120300751879699,20,XGBoost
2023-03-21,0.4586466165413533,20,XGBoost
2023-03-22,0.051127819548872175,20,XGBoost
2023-03-23,0.1533834586466165,20,XGBoost
2023-03-24,0.26165413533834586,20,XGBoost
2023-03-27,-0.07218045112781954,20,XGBoost
2023-03-28,0.19548872180451127,20,XGBoost
2023-03-29,-0.41353383458646614,20,XGBoost
2023-03-31,-0.06466165413533834,20,XGBoost
2023-04-03,0.09924812030075188,20,XGBoost
2023-04-05,0.4270676691729323,20,XGBoost
2023-04-06,0.29172932330827067,20,XGBoost
2023-04-10,0.3639097744360902,20,XGBoost
2023-04-11,0.05263157894736842,20,XGBoost
2023-04-12,0.18646616541353384,20,XGBoost
2023-04-13,-0.2646616541353383,20,XGBoost
2023-04-17,0.26315789473684204,20,XGBoost
2023-04-18,0.022556390977443608,20,XGBoost
2023-04-19,0.13082706766917293,20,XGBoost
2023-04-20,0.22406015037593985,20,XGBoost
2023-04-21,-0.17593984962406017,20,XGBoost
2023-04-24,0.1413533834586466,20,XGBoost
2023-04-25,-0.13383458646616542,20,XGBoost
2023-04-26,0.3278195488721804,20,XGBoost
2023-04-27,0.19849624060150375,20,XGBoost
2023-04-28,0.13383458646616542,20,XGBoost
2023-05-02,0.051127819548872175,20,XGBoost
2023-05-03,0.08421052631578946,20,XGBoost
2023-05-04,0.02706766917293233,20,XGBoost
2023-05-05,-0.2721804511278195,20,XGBoost
2023-05-08,-0.04962406015037594,20,XGBoost
2023-05-09,0.13383458646616542,20,XGBoost
2023-05-10,0.08270676691729321,20,XGBoost
2023-05-11,0.1819548872180451,20,XGBoost
2023-05-12,0.06616541353383458,20,XGBoost
2023-05-15,0.09774436090225563,20,XGBoost
2023-05-16,0.08421052631578946,20,XGBoost
2023-05-17,-0.20601503759398496,20,XGBoost
2023-05-18,0.07218045112781954,20,XGBoost
2023-05-19,0.31879699248120297,20,XGBoost
2023-05-22,-0.012030075187969924,20,XGBoost
2023-05-23,-0.09172932330827067,20,XGBoost
2023-05-24,0.20902255639097742,20,XGBoost
