Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks,Strategy,RiskProfile,CostBps
2025-01-01,1003383.1627791993,0.0043875503295289775,0.001,0.003383162779199367,1.0,20,BuyHold,,10.0
2025-01-08,984589.7729229669,-0.018730023139094665,0.0,-0.018730023139094665,0.0,20,BuyHold,,10.0
2025-01-15,987569.8448431573,0.0030267142744571096,2.706168622523819e-19,0.0030267142744571096,2.706168622523819e-16,20,BuyHold,,10.0
2025-01-22,983741.3278452577,-0.0038767050430824623,0.0,-0.0038767050430824623,0.0,20,BuyHold,,10.0
2025-01-29,1013853.9918549455,0.030610347616121025,0.0,0.030610347616121025,0.0,20,BuyHold,,10.0
2025-02-04,978160.0713635021,-0.03520617443754204,2.42861286636753e-19,-0.03520617443754204,2.42861286636753e-16,20,BuyHold,,10.0
2025-02-11,977403.8439806823,-0.0007731120958204274,1.3877787807814457e-19,-0.0007731120958204274,1.3877787807814457e-16,20,BuyHold,,10.0
2025-02-18,960416.1172617755,-0.01738045826556267,0.0,-0.01738045826556267,0.0,20,BuyHold,,10.0
2025-02-25,946533.0212900074,-0.014455292578127499,0.0,-0.014455292578127499,0.0,20,BuyHold,,10.0
2025-03-05,955028.4544014792,0.008975316148921664,0.0,0.008975316148921664,0.0,20,BuyHold,,10.0
2025-03-12,976255.2284709488,0.022226326316918454,0.0,0.022226326316918454,0.0,20,BuyHold,,10.0
2025-03-21,984906.1355546548,0.008861317032079263,0.0,0.008861317032079263,0.0,20,BuyHold,,10.0
2025-03-28,939283.4295598601,-0.046321882205660136,1.457167719820518e-19,-0.046321882205660136,1.457167719820518e-16,20,BuyHold,,10.0
2025-04-07,985905.2171782118,0.04963548397760853,2.42861286636753e-19,0.04963548397760853,2.42861286636753e-16,20,BuyHold,,10.0
2025-04-16,1016602.8889942516,0.03113653450774967,2.42861286636753e-19,0.03113653450774967,2.42861286636753e-16,20,BuyHold,,10.0
2025-04-24,1015145.1234661348,-0.001433957687803744,2.359223927328458e-19,-0.001433957687803744,2.3592239273284576e-16,20,BuyHold,,10.0
2025-05-02,1000664.6712780265,-0.014264415848904255,2.359223927328458e-19,-0.014264415848904255,2.3592239273284576e-16,20,BuyHold,,10.0
2025-05-09,1032732.4312615318,0.03204645962223185,0.0,0.03204645962223185,0.0,20,BuyHold,,10.0
2025-05-16,1024698.4128572674,-0.0077793803710128895,0.0,-0.0077793803710128895,0.0,20,BuyHold,,10.0
2025-05-23,1019048.4888383718,-0.005513743310230579,0.0,-0.005513743310230579,0.0,20,BuyHold,,10.0
2025-05-30,1025459.5328289107,0.006291206022833062,1.457167719820518e-19,0.006291206022833062,1.457167719820518e-16,20,BuyHold,,10.0
2025-06-06,1016502.0725583714,-0.00873506948229219,1.457167719820518e-19,-0.00873506948229219,1.457167719820518e-16,20,BuyHold,,10.0
2025-06-13,1032040.6085788199,0.01528628070707283,0.0,0.01528628070707283,0.0,20,BuyHold,,10.0
2025-06-20,1050107.4111759057,0.01750590281710407,2.2898349882893855e-19,0.01750590281710407,2.2898349882893854e-16,20,BuyHold,,10.0
2025-06-27,1043191.5858263248,-0.006585826626855917,1.457167719820518e-19,-0.006585826626855917,1.457167719820518e-16,20,BuyHold,,10.0
2025-07-04,1035867.9312815286,-0.007020430996857674,0.0,-0.007020430996857674,0.0,20,BuyHold,,10.0
2025-07-11,1024742.3873519703,-0.01074031118599672,2.2898349882893855e-19,-0.01074031118599672,2.2898349882893854e-16,20,BuyHold,,10.0
2025-07-18,1012591.3960006844,-0.011857605873692112,2.2898349882893855e-19,-0.011857605873692112,2.2898349882893854e-16,20,BuyHold,,10.0
2025-07-25,1002134.8694683536,-0.010326501463107207,2.2898349882893855e-19,-0.010326501463107207,2.2898349882893854e-16,20,BuyHold,,10.0
2025-08-01,998837.746611449,-0.0032900989251613,2.359223927328458e-19,-0.0032900989251613,2.3592239273284576e-16,20,BuyHold,,10.0
2025-08-08,1021699.2885837938,0.022888143795028126,0.0,0.022888143795028126,0.0,20,BuyHold,,10.0
