Date,Open,High,Low,Close,Volume
2018-01-01,1080.9393639364607,1082.798245043832,1057.7962714582673,1062.9547119140625,591349
2018-01-02,1065.1389681979465,1068.8567307396495,1054.0321979874518,1062.1182861328125,516171
2018-01-03,1067.92725265903,1067.92725265903,1055.1939617830133,1061.3282470703125,593809
2018-01-04,1067.9270605828256,1094.8808332172048,1065.0458179236707,1089.3507080078125,729965
2018-01-05,1094.880819620399,1107.8929855581628,1085.075177763037,1101.6192626953125,1151320
2018-01-08,1106.0344023470548,1106.824404228737,1090.6986312220745,1098.598876953125,928875
2018-01-09,1099.6211386857203,1112.7262283055309,1092.185613970128,1108.869140625,699621
2018-01-10,1102.316653535866,1105.1978969708855,1088.4679646237985,1094.323486328125,1102382
2018-01-11,1096.6469803021837,1105.9877902040107,1087.4454957238684,1105.058349609375,475476
2018-01-12,1103.2461705914477,1108.404612138393,1093.0223223382832,1105.755615234375,390841
2018-01-15,1105.7089294238438,1122.949982872629,1099.0168896533123,1119.0928955078125,723833
2018-01-16,1119.0930457401978,1119.0930457401978,1100.4577155625657,1104.87255859375,557253
2018-01-17,1103.0602082591531,1111.982815803333,1095.252884111579,1109.519775390625,506648
2018-01-18,1110.6815612138057,1119.1394483190747,1097.6693922958198,1104.4078369140625,500762
2018-01-19,1099.6212860820349,1110.6816532704615,1094.788239751906,1105.9415283203125,722692
2018-01-22,1107.893143634407,1109.4731471980258,1081.9617294099337,1093.0220947265625,942542
2018-01-23,1093.0221038143347,1094.7415461671803,1074.6191352550288,1087.3525390625,1841634
2018-01-24,1087.4456195631494,1088.9792194103668,1064.256119468987,1069.832763671875,1122469
2018-01-25,1066.99794004681,1079.4524683102086,1062.7689394137772,1069.2750244140625,1563047
2018-01-29,1072.5744487419145,1082.101214859423,1066.6260062307813,1070.7620849609375,1538762
2018-01-30,1069.7862603665512,1070.7157010792937,1044.1801233476494,1047.2008056640625,1404578
2018-01-31,1048.4091106881135,1059.3765563423433,1044.6913478842553,1048.68798828125,961596
2018-02-01,1046.5503615737478,1075.6883085407026,1046.5503615737478,1071.645263671875,1103162
2018-02-02,1066.9979240859773,1066.9979240859773,1044.6448298579496,1057.610595703125,872105
2018-02-05,1042.0886855820872,1059.5622130752904,1035.6756366370455,1054.0784912109375,1263378
2018-02-06,1031.6791388570282,1047.4796301728566,1013.1832469194302,1031.9114990234375,1055719
2018-02-07,1036.3264059618136,1045.80665595189,1028.4726772366996,1041.9959716796875,854461
2018-02-08,1048.4091605998033,1051.4763604418538,1031.6792271859767,1044.7379150390625,1185917
2018-02-09,1023.3141077763996,1061.6535327952704,1023.3141077763996,1050.9649658203125,666922
2018-02-12,1057.703655655912,1068.8569455222307,1055.7518526207325,1063.652099609375,646362
2018-02-14,1063.2799807370768,1063.2799807370768,1047.479491512837,1058.772216796875,691596
2018-02-15,1054.9150490786217,1059.4693305722312,1043.7617622161165,1055.333251953125,471072
2018-02-16,1056.309380455666,1066.0685080357666,1050.2680157632226,1063.1407470703125,734476
2018-02-19,1064.2093137356917,1064.952911477468,1033.119576110265,1041.298583984375,443677
2018-02-20,1044.6446775417237,1055.8444817316645,1034.2349885976316,1046.921875,662281
2018-02-21,1052.4519244557728,1053.288443594785,1036.3261545185835,1047.665283203125,720563
