Date,Open,High,Low,Close,Volume
2018-01-01,831.1459950113423,835.3612972559414,824.7018524442303,826.0585327148438,472607
2018-01-02,827.657546159745,831.8729082232429,814.5754981647298,818.9846801757812,1181949
2018-01-03,837.1542341111185,842.4839576410305,826.591667457256,829.7894897460938,2606556
2018-01-04,837.6386914417311,869.6654704157752,826.6884856963826,865.25634765625,3028931
2018-01-05,867.2914061333722,885.6547387962557,865.8378451175063,881.5363159179688,4036882
2018-01-08,882.7960375851615,901.2078100485184,878.6776147973054,897.4285278320312,2112170
2018-01-09,896.3625824501243,909.4446309507478,888.8525175701368,904.0664672851562,2419079
2018-01-10,903.6303793053032,906.4406207651144,883.6681661659997,889.191650390625,1605433
2018-01-11,888.5133429368869,889.2885635817917,875.3343553913319,878.8229370117188,1597329
2018-01-12,877.9508710881162,888.9979586871801,864.8203814787671,875.8189697265625,1874518
2018-01-15,880.857907630428,893.3585550602988,869.90776065181,889.821533203125,2195562
2018-01-16,898.300585921014,898.7851061938948,855.275162030982,861.8646850585938,2383484
2018-01-17,865.1595559564088,867.8244179763574,835.7976335293575,865.4502563476562,2553841
2018-01-18,869.9561669245597,875.6250305696107,847.9104940785182,858.424560546875,1285534
2018-01-19,851.8835703905241,869.762381343964,851.8835703905241,863.8512573242188,1483177
2018-01-22,862.4461045649132,883.7649970373043,859.6358632626083,881.5846557617188,1495629
2018-01-23,882.5052369087953,886.3813990920816,870.4891104823917,877.6600341796875,1747166
2018-01-24,877.6601525974137,881.1002351701228,853.7248360570561,859.4421997070312,1109233
2018-01-25,854.6937981900567,877.2724320500956,849.606335105592,856.728759765625,3104669
2018-01-29,859.9267383616382,873.5901885340674,853.2403338926747,868.4542846679688,1151570
2018-01-30,871.4097723312453,883.3774002585606,851.1567998359708,856.7772827148438,2101888
2018-01-31,855.6628808327426,857.552521900384,832.7935455015471,842.6292724609375,1431670
2018-02-01,850.3331555528331,851.8835969075884,787.5877745590486,805.2727661132812,6097492
2018-02-02,784.9228111655287,823.4421713430963,759.8731377019801,796.7451171875,8088986
2018-02-05,784.9228669437377,791.4638908349356,770.5810782410348,777.4612426757812,3079541
2018-02-06,741.3160868437483,763.9916613936581,729.3968988451738,758.419677734375,3188895
2018-02-07,760.6968529958202,776.201502228856,755.8516501104965,759.388671875,2686877
2018-02-08,760.7937799338118,783.8569943951865,756.626917026651,775.9592895507812,2219546
2018-02-09,765.6390074975167,779.1086964298339,758.8072826228573,772.131591796875,1564899
2018-02-12,778.1396352827793,787.6362217423016,771.8893113147236,784.0023193359375,2067452
2018-02-14,788.799062172373,800.3306691719317,784.0507394912498,788.5083618164062,2154852
2018-02-15,797.2296845859831,797.8110852667161,775.2324519332682,789.6226806640625,2225089
2018-02-16,794.6133055878703,801.2997095004254,773.9243120823068,778.3334350585938,1698333
2018-02-19,780.0776003219577,783.9537623111352,765.5419928625423,779.0601196289062,1699508
2018-02-20,779.0601726773714,811.9591116298066,772.9552289578212,806.4840087890625,3881439
2018-02-21,812.0076341104344,815.4477166295541,793.4020415810426,797.423583984375,2067029
2018-02-22,799.4584165800602,810.117862134461,788.8474112217989,792.1906127929688,3244314
2018-02-23,796.7452452286082,798.1018666699574,785.1651974725659,788.992919921875,2446637
2018-02-26,794.5648309444227,797.8595334106211,780.0776625255538,794.3225708007812,2438241
