Date,Open,High,Low,Close,Volume
2018-01-01,1107.8945995867018,1119.316193396874,1103.4138419263654,1107.6309814453125,2048058
2018-01-02,1113.1659502798998,1115.7138653807008,1091.9481248054226,1098.0103759765625,1512324
2018-01-03,1103.4137003883363,1128.0579179835224,1099.5479092217306,1120.458251953125,2720736
2018-01-04,1128.9364239120553,1159.7308348117788,1124.6753131278915,1155.952880859375,4546456
2018-01-05,1164.12392202094,1167.5942862850866,1149.1879924553882,1155.250244140625,2418902
2018-01-08,1156.655933114317,1182.5301911871434,1156.655933114317,1175.76513671875,3513256
2018-01-09,1177.3025955203057,1179.9383475998288,1165.3538742096064,1170.932861328125,1703294
2018-01-10,1170.4497499289662,1174.2277046354905,1157.6664150247832,1163.0257568359375,1098019
2018-01-11,1159.9066331855272,1165.7053737811175,1153.6248429553557,1162.8499755859375,1232290
2018-01-12,1164.5632880120002,1170.537703117186,1150.7255876829252,1167.7701416015625,1825056
2018-01-15,1172.777915708676,1187.14274369704,1162.8938449943391,1164.95849609375,2386631
2018-01-16,1169.4393189412633,1176.9951201682604,1162.674157544012,1165.1781005859375,3139385
2018-01-17,1162.3667330137716,1192.2385916097417,1159.9506268038035,1189.03173828125,2724814
2018-01-18,1194.874360337412,1216.8389625494967,1186.483839392782,1195.5772705078125,4966982
2018-01-19,1196.6315054546906,1211.2599516958485,1189.163540846493,1204.93408203125,2127776
2018-01-22,1132.6704454750227,1233.22444823157,1132.6704454750227,1229.0072021484375,3067658
2018-01-23,1235.289276624127,1243.1965337291178,1223.9555199904992,1239.4185791015625,4804202
2018-01-24,1236.255811807295,1238.6280535071571,1221.056369429876,1231.0721435546875,2147973
2018-01-25,1222.9888534680551,1253.7832636909775,1222.9888534680551,1244.51416015625,6113475
2018-01-29,1245.8322952731737,1266.6108313796883,1245.8322952731737,1258.0885009765625,2945415
2018-01-30,1256.3312183686712,1262.2616607013128,1235.9481113249817,1256.287353515625,1988140
2018-01-31,1258.0443743814903,1264.8972648144445,1240.5605323971938,1244.51416015625,2614515
2018-02-01,1281.7663136730232,1291.5185753431551,1234.5862850406606,1278.866943359375,8187730
2018-02-02,1272.1897516645874,1272.1897516645874,1238.8475286279638,1243.591796875,3621563
2018-02-05,1212.4461282455738,1230.0178112636256,1190.569361438291,1198.081298828125,3060688
2018-02-06,1159.6868516184024,1205.724672433897,1137.1072868138444,1188.76806640625,4230633
2018-02-07,1203.6601965206185,1203.6601965206185,1168.5168331185566,1171.8115234375,2927403
2018-02-08,1181.695454144769,1194.4349218660325,1171.1524463754477,1183.8040771484375,1932082
2018-02-09,1163.9481321651729,1179.9383181488915,1158.0615549850827,1167.8577880859375,2029257
2018-02-12,1172.5145791056464,1190.481582974911,1172.5145791056464,1186.5279541015625,1543603
2018-02-14,1190.2176709454004,1205.8565086382775,1182.2225782031403,1195.928466796875,2310144
2018-02-15,1198.7401453705893,1203.6601947899971,1182.9256318623995,1186.39599609375,1861841
2018-02-16,1193.1171506488593,1198.3886549963506,1160.1262763745308,1167.111083984375,1424576
2018-02-19,1166.7595462659206,1169.3513261535738,1130.7376024429516,1138.20556640625,4275673
2018-02-20,1142.1592239180636,1150.5936090448845,1130.9572776834827,1133.9005126953125,2063972
2018-02-21,1141.2806254399927,1141.807754394548,1123.7089452946502,1127.047607421875,1584305
2018-02-22,1122.8304382891108,1140.402119639488,1121.073270154073,1135.130615234375,3028574
2018-02-23,1135.6578597238297,1146.5523247188594,1124.9391759095995,1143.6529541015625,2176017
2018-02-26,1147.4306622463153,1184.067570813531,1147.4306622463153,1181.0364990234375,2239306
2018-02-27,1183.8920123356609,1191.1843028808285,1169.6589935656343,1175.63330078125,2243499
2018-02-28,1166.759622291873,1169.9225034326173,1151.4722383210742,1158.1055908203125,2439968
