ticker
RELIANCE.NS
HDFCBANK.NS
ICICIBANK.NS
INFY.NS
TCS.NS
ITC.NS
LT.NS
SBIN.NS
BHARTIARTL.NS
HINDUNILVR.NS
AXISBANK.NS
KOTAKBANK.NS
MARUTI.NS
SUNPHARMA.NS
TITAN.NS
ASIANPAINT.NS
BAJFINANCE.NS
HCLTECH.NS
NTPC.NS
POWERGRID.NS
