ticker
RELIANCE.NS
HDFCBANK.NS
ICICIBANK.NS
INFY.NS
TCS.NS
ITC.NS
LT.NS
SBIN.NS
BHARTIARTL.NS
HINDUNILVR.NS
AXISBANK.NS
KOTAKBANK.NS
MARUTI.NS
SUNPHARMA.NS
TITAN.NS
ASIANPAINT.NS
BAJFINANCE.NS
HCLTECH.NS
NTPC.NS
POWERGRID.NS
ADANIPORTS.NS
BAJAJ-AUTO.NS
COALINDIA.NS
DRREDDY.NS
EICHERMOT.NS
GAIL.NS
GRASIM.NS
HEROMOTOCO.NS
HINDALCO.NS
INDUSINDBK.NS
JSWSTEEL.NS
M&M.NS
NESTLEIND.NS
ONGC.NS
TMPV.NS
TATASTEEL.NS
TECHM.NS
ULTRACEMCO.NS
WIPRO.NS
CIPLA.NS
APOLLOHOSP.NS
BRITANNIA.NS
DIVISLAB.NS
HDFCLIFE.NS
SBILIFE.NS
TATACONSUM.NS
ADANIENT.NS
BEL.NS
HAL.NS
SHRIRAMFIN.NS
