Date,Open,High,Low,Close,Volume
2018-01-01,1107.8945995867018,1119.316193396874,1103.4138419263654,1107.6309814453125,2048058
2018-01-02,1113.1659502798998,1115.7138653807008,1091.9481248054226,1098.0103759765625,1512324
2018-01-03,1103.4137003883363,1128.0579179835224,1099.5479092217306,1120.458251953125,2720736
2018-01-04,1128.9366623467256,1159.7310797503185,1124.6755506626027,1155.953125,4546456
2018-01-05,1164.12392202094,1167.5942862850866,1149.1879924553882,1155.250244140625,2418902
2018-01-08,1156.6558130279604,1182.530068414469,1156.6558130279604,1175.7650146484375,3513256
2018-01-09,1177.3024727859454,1179.93822459069,1165.353752720906,1170.9327392578125,1703294
2018-01-10,1170.4496270794368,1174.2275813894298,1157.6662935169832,1163.025634765625,1098019
2018-01-11,1159.9066331855272,1165.7053737811175,1153.6248429553557,1162.8499755859375,1232290
2018-01-12,1164.5630445418183,1170.5374583979587,1150.725347105731,1167.7698974609375,1825056
2018-01-15,1172.7779157086761,1187.14274369704,1162.8938449943391,1164.95849609375,2386631
2018-01-16,1169.4393189412633,1176.9951201682604,1162.674157544012,1165.1781005859375,3139385
2018-01-17,1162.3667330137716,1192.2385916097417,1159.9506268038035,1189.03173828125,2724814
2018-01-18,1194.874360337412,1216.8389625494967,1186.4838393927819,1195.5772705078125,4966982
2018-01-19,1196.6316266838796,1211.2600744070264,1189.1636613191124,1204.9342041015625,2127776
2018-01-22,1132.6705579767518,1233.2245707207576,1132.6705579767518,1229.00732421875,3067658
2018-01-23,1235.289033296892,1243.1962888443118,1223.955278895787,1239.4183349609375,4804202
2018-01-24,1236.2556892229818,1238.6279306876177,1221.0562483527049,1231.072021484375,2147973
2018-01-25,1222.9890933859867,1253.7835096499543,1222.9890933859867,1244.514404296875,6113475
2018-01-29,1245.832174392061,1266.6107084824678,1245.832174392061,1258.08837890625,2945415
2018-01-30,1256.3312183686712,1262.2616607013128,1235.9481113249815,1256.287353515625,1988140
2018-01-31,1258.044621176384,1264.897512953693,1240.560775762222,1244.514404296875,2614515
2018-02-01,1281.766436020086,1291.5186986210902,1234.5864028842989,1278.8670654296875,8187730
2018-02-02,1272.1898765420601,1272.1898765420601,1238.8476502325816,1243.5919189453125,3621563
2018-02-05,1212.4461282455738,1230.0178112636256,1190.569361438291,1198.081298828125,3060688
2018-02-06,1159.6868516184024,1205.724672433897,1137.1072868138444,1188.76806640625,4230633
2018-02-07,1203.6601965206185,1203.6601965206185,1168.5168331185566,1171.8115234375,2927403
2018-02-08,1181.6955759976465,1194.4350450325655,1171.152567141162,1183.80419921875,1932082
2018-02-09,1163.9481321651729,1179.9383181488915,1158.0615549850827,1167.8577880859375,2029257
2018-02-12,1172.5144584770337,1190.481460497848,1172.5144584770337,1186.52783203125,1543603
2018-02-14,1190.2179139202055,1205.8567548056444,1182.2228195458017,1195.9287109375,2310144
2018-02-15,1198.7401453705893,1203.6601947899971,1182.9256318623995,1186.39599609375,1861841
2018-02-16,1193.117025858524,1198.388529654659,1160.1261550347722,1167.1109619140625,1424576
2018-02-19,1166.7596713985913,1169.3514515642078,1130.7377237123396,1138.2056884765625,4275673
2018-02-20,1142.1593468774695,1150.5937329122958,1130.9573994369405,1133.900634765625,2063972
2018-02-21,1141.2807490518808,1141.8078780635294,1123.7090670033529,1127.0477294921875,1584305
2018-02-22,1122.8304382891108,1140.402119639488,1121.073270154073,1135.130615234375,3028574
2018-02-23,1135.6576172899527,1146.552079959293,1124.9389357638875,1143.6527099609375,2176017
2018-02-26,1147.4306622463153,1184.067570813531,1147.4306622463153,1181.0364990234375,2239306
2018-02-27,1183.8920123356609,1191.1843028808285,1169.6589935656345,1175.63330078125,2243499
2018-02-28,1166.7598682568575,1169.92275006437,1151.4724810633202,1158.1058349609375,2439968
